"TestId","Date","Time","Name","Segment","Position","Type","Excluded","Tags","System Weight","Jump Height","Jump Momentum","Countermovement Depth","Braking RFD","Stiffness","Force at Min Displacement","Relative Force at Min Displacement","Avg. Braking Force","Avg. Relative Braking Force","Peak Braking Force","Peak Relative Braking Force","Avg. Propulsive Force","Avg. Relative Propulsive Force","Peak Propulsive Force","Peak Relative Propulsive Force","Unweighting Phase","Unweighting Phase %","Braking Phase","Braking Phase %","Propulsive Phase","Propulsive Phase %","Flight Time","Time To Takeoff","Braking Net Impulse","Propulsive Net Impulse","Positive Impulse","Positive Net Impulse","Impulse Ratio","Avg. Braking Velocity","Peak Braking Velocity","Avg. Propulsive Velocity","Takeoff Velocity","Peak Velocity","Avg. Braking Power","Avg. Relative Braking Power","Peak Braking Power","Peak Relative Braking Power","Avg. Propulsive Power","Avg. Relative Propulsive Power","Peak Relative Propulsive Power","Peak Propulsive Power","L|R Peak Braking Force","Left Force at Peak Braking Force","Right Force at Peak Braking Force","L|R Avg. Braking Force","Left Avg. Braking Force","Right Avg. Braking Force","L|R Peak Propulsive Force","Left Force at Peak Propulsive Force","Right Force at Peak Propulsive Force","L|R Avg. Propulsive Force","Left Avg. Propulsive Force","Right Avg. Propulsive Force","L|R Avg. Braking RFD","Left Avg. Braking RFD","Right Avg. Braking RFD","L|R Braking Impulse Index","L|R Propulsive Impulse Index","Time to Stabilization","Landing Stiffness","Peak Landing Force","Avg. Landing Force","Relative Peak Landing Force","L|R Peak Landing Force","Left Force at Peak Landing Force","Right Force at Peak Landing Force","L|R Avg. Landing Force","Left Avg. Landing Force","Right Avg. Landing Force","L|R Landing Impulse Index","RSI","mRSI","Braking Impulse","Relative Braking Impulse","Relative Braking Net Impulse","Propulsive Impulse","Relative Propulsive Impulse","Relative Propulsive Net Impulse"
"zIh56NqofsHv90XErU54","09/14/2022","12:56:29","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",589.342,0.4041,169.1762,-0.2832,7584,-5441.2886,1541,261.4781,1311.112,222.4705,1541,261.4781,1319.5172,223.8967,1579,267.9259,0.342,48.927,0.125,17.8827,0.232,33.1903,0.592,0.699,89.7397,170.1527,470.2875,259.8924,1.8961,-0.8851,-1.5007,1.7021,2.8161,2.9016,-1062.8418,-17.6917,-1689.7163,-28.1265,2033.327,33.8461,57.4323,3450.2833,1.233,780,761,-1.0269,648.824,662.288,0.4433,793,786,2.3428,675.2155,644.3017,-2.5316,3696,3888,-2.0227,4.5674,"N/A",-4844.8349,3117,731.6772,528.8949,7.8601,1681,1436,11.0361,406.2128,325.4644,"N/A",0.8469,0.5782,163.4075,2.72,1.4938,306.88,5.1082,2.8323
"nQEFF0u2AARVzzaxpwJB","09/14/2022","12:56:16","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",588.787,0.4082,169.8788,-0.2731,7488.189,-5632.0685,1538,261.215,1324.7874,225.0028,1532,260.196,1346.92,228.7618,1613,273.9531,0.321,47.6969,0.127,18.8707,0.225,33.4324,0.593,0.673,92.9781,171.3264,471.5575,264.3045,1.8427,-0.8915,-1.5643,1.7043,2.8304,2.9148,-1103.0589,-18.3785,-1838.7463,-30.636,2075.6323,34.5829,58.9227,3536.4825,2.4804,785,747,4.3269,691.0551,633.7323,1.3019,817,796,0.23,675.0089,671.9111,-7.8864,3448.8189,4039.3701,8.3479,0.483,"N/A",-5882.3142,3448,765.2158,585.6108,-4.5824,1645,1803,-5.049,363.2901,401.9257,"N/A",0.8811,0.6067,167.754,2.795,1.5491,303.8035,5.0618,2.8545
"a4yGpEhc4Tg2ap6aws7U","09/13/2022","12:00:54","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",600.698,0.3607,162.912,-0.2786,7968.254,-5756.2282,1604,267.0227,1343.2619,223.6168,1614,268.6874,1320.5242,219.8316,1604,267.0227,0.261,42.5081,0.126,20.5212,0.227,36.9707,0.555,0.614,93.0536,164.1856,469.2855,257.2391,1.7644,-0.9235,-1.5311,1.6035,2.6605,2.7463,-1124.4106,-18.3628,-1573.8334,-25.7023,1921.3514,31.3776,54.0166,3307.6113,0.4957,811,803,0.9128,677.7619,665.5,0.7481,808,796,0.3159,662.348,658.1762,-13.5458,3444.4444,4523.8095,1.9013,0.6328,"560",-7677.2227,3442,891.0643,573.0001,10.1685,1896,1546,-0.6974,442.425,448.6393,"-1.393",0.9039,0.5876,168.7415,2.7557,1.5197,300.544,4.9082,2.6813
"oY8CedtYcfMWanOaXp2n","09/13/2022","12:00:38","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",592.917,0.3901,167.2314,-0.2824,6821.4286,-5478.3333,1547,260.9134,1210.5143,204.1625,1548,261.0821,1290.3125,217.6211,1552,261.7567,0.261,40.7176,0.14,21.8409,0.24,37.4415,0.553,0.641,85.9796,168.1324,479.4205,254.112,1.9555,-0.908,-1.4282,1.6741,2.7669,2.8586,-978.6593,-16.1922,-1398.5036,-23.1387,1959.9029,32.4272,55.1583,3333.769,-0.9044,767,781,-4.0077,581,629.5143,-2.4485,757,795,-0.1062,644.4708,645.8417,7.8534,3678.5714,3142.8571,-7.7694,-0.2121,"1020",-12492.0193,2951,760.6657,497.7088,5.7269,1560,1391,8.7061,413.4451,347.2206,"16.0052",0.8627,0.6087,168.988,2.796,1.4226,310.4325,5.1362,2.7818
"skjWEDL253KZobmzV20r","09/13/2022","12:00:30","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",599.605,0.3825,167.4683,-0.3005,5366.6667,-4686.2178,1408,234.8213,1189.06,198.3072,1412,235.4884,1256.5451,209.5621,1412,235.4884,0.285,41.3043,0.15,21.7391,0.255,36.9565,0.574,0.69,88.0088,168.2042,499.053,256.213,1.9112,-0.8737,-1.4426,1.5883,2.7399,2.8241,-947.8808,-15.5081,-1383.7798,-22.6397,1855.2121,30.3527,54.7958,3349.2193,1.983,720,692,-2.6884,578.5467,610.5133,3.3994,730,682,1.0539,634.8941,621.651,12.5466,3020,2346.6667,-5.3005,2.1025,"N/A",-4064.028,2187,879.9619,364.7401,11.6598,1221,966,9.6282,482.3431,397.6188,"N/A",0.8319,0.5545,177.9495,2.9114,1.4399,321.1035,5.2535,2.752
"SFgi3OseTOcMQGniRM0l","09/13/2022","12:00:22","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",599.229,0.3754,165.7961,-0.2591,6794.1176,-5891.253,1526,254.6606,1231.7941,205.5632,1526,254.6606,1348.8959,225.1052,1557,259.8339,0.272,43.2432,0.136,21.6216,0.221,35.1351,0.563,0.629,85.5574,166.4189,465.901,251.9762,1.9451,-0.8619,-1.4017,1.6287,2.7143,2.799,-957.6989,-15.6785,-1360.6293,-22.2749,1997.6576,32.7037,56.4434,3447.7585,-1.5727,751,775,-2.7363,599.0441,632.75,-0.9634,771,786,-1.3076,665.629,683.267,-7.1429,3154.4118,3639.7059,-5.3013,-2.5735,"730",-7342.6517,3311,829.7425,552.5434,6.8559,1769,1542,5.6202,438.1877,391.5548,"10.6332",0.8951,0.597,167.0525,2.7348,1.4007,298.8485,4.8925,2.7244
"MRjYT7nHxOwSl1S8javH","09/12/2022","12:16:22","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",598.519,0.3655,163.3668,-0.2731,8325,-5856.9831,1599,267.1594,1339.2833,223.7662,1599,267.1594,1328.942,222.0384,1634,273.0072,0.325,48.58,0.12,17.9372,0.224,33.4828,0.559,0.669,88.3822,164.3952,458.668,252.7775,1.86,-0.863,-1.4562,1.6437,2.6777,2.7566,-1055.6149,-17.302,-1568.3878,-25.7066,1963.7125,32.1861,53.0567,3237.0464,3.1895,825,774,2.4827,686.2667,653.0167,1.224,827,807,1.0531,671.4688,657.4732,2.3023,4258.3333,4066.6667,4.8405,2.1022,"N/A",-4808.2813,3268,792.5358,546.0144,0,1634,1634,4.1434,412.6867,379.849,"N/A",0.8356,0.5462,160.2045,2.6258,1.4486,298.4635,4.892,2.6945
"adYSaO5yHLbv8EHHkdME","09/12/2022","12:16:10","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",598.155,0.3698,164.2263,-0.2449,8947.3684,-6653.5044,1629,272.3374,1341.0439,224.1967,1627,272.0031,1389.9663,232.3756,1654,276.517,0.42,56.6038,0.114,15.3639,0.208,28.0323,0.555,0.742,84.1698,165.4833,442.259,249.6531,1.9661,-0.8481,-1.3919,1.6321,2.6934,2.763,-1025.4188,-16.8173,-1519.338,-24.9178,2043.2382,33.51,55.8988,3408.3708,0.799,820,807,0.5815,674.4211,666.6228,0.2418,829,825,0.598,699.1394,690.8269,-4.1176,4289.4737,4657.8947,1.1868,1.195,"640",-6590.8711,2424,856.7844,405.2461,13.3663,1374,1050,4.9564,449.625,407.1594,"9.4557",0.748,0.4983,152.3595,2.4988,1.3804,289.8995,4.7545,2.714
"JabJaUqudBET7J6EaR1M","09/06/2022","11:33:21","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",604.508,0.3277,156.22,-0.2446,7449.6124,-6394.5687,1564,258.7228,1233.9302,204.1214,1560,258.0611,1357.4904,224.5612,1607,265.836,0.286,45.9069,0.129,20.7063,0.208,33.3868,0.52,0.623,80.7085,157.3833,441.811,238.0918,1.95,-0.8217,-1.3194,1.5577,2.5351,2.6298,-912.5279,-14.8086,-1294.1867,-21.0022,1897.2398,30.7885,52.4641,3232.9201,1.9231,795,765,-6.3822,577.5891,656.3411,1.5557,816,791,1.3975,688.2308,669.2596,16.7534,4348.8372,3100.7752,-12.1211,2.7554,"N/A",-1229.7773,2528,709.7498,418.1913,9.1772,1380,1148,8.6751,385.6606,324.0892,"N/A",0.8347,0.5258,158.69,2.5752,1.3097,283.121,4.5945,2.554
"5xE6UEX2WqIVZ2TQTXzS","09/06/2022","11:28:55","abU58h8GqrgqG19iryFe",,"--","Countermovement Jump","","",603.58,0.3576,162.9756,-0.2791,8000,-5862.9584,1637,271.2151,1292.2713,214.1011,1636,271.0494,1328.1991,220.0535,1637,271.2151,0.329,48.0994,0.129,18.8596,0.226,33.0409,0.548,0.684,88.3177,164.5684,467.157,252.8861,1.8634,-0.9087,-1.4519,1.6243,2.6488,2.7334,-1051.1873,-17.085,-1487.6427,-24.1787,1938.912,31.5132,52.0834,3204.5343,-4.7677,779,857,-7.9405,594.8295,697.4419,-4.5816,781,856,-2.9546,644.4779,683.7212,6.5891,4263.5659,3736.4341,-14.7902,-5.7408,"920",-4850.3639,2044,786.3141,338.6461,23.1898,1259,785,2.816,404.2283,382.0859,"5.4826",0.8012,0.5228,166.1795,2.7009,1.4354,300.9775,4.8918,2.6747
